2025-10-17 14:39:20:695 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:20:696 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45287: Setting 'ltp' to 171.8 | 
2025-10-17 14:39:20:697 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:20:697 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 171.8 | 
2025-10-17 14:39:20:698 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:20:699 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:20:699 | INFO     | trade_logic.py            | position_data_update      | Updating position 45283: Setting 'latest_price' to 104.35 | 
2025-10-17 14:39:20:700 | DEBUG    | trade_logic.py            | calculate_point_difference | Calculating point difference: Buy Price = 257.15, Current Price = 104.35 | 
2025-10-17 14:39:20:700 | DEBUG    | trade_logic.py            | calculate_pctg_difference | Calculating percentage difference: Buy Price = 257.15, Current Price = 104.35 | 
2025-10-17 14:39:20:701 | DEBUG    | trade_logic.py            | position_data_update      | Updated 45283:latest_price to 104.35 | 
2025-10-17 14:39:20:701 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45283: Setting 'ltp' to 104.35 | 
2025-10-17 14:39:20:702 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:20:702 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 104.35 | 
2025-10-17 14:39:20:703 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:20:703 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:20:899 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45269: Setting 'ltp' to 18.1 | 
2025-10-17 14:39:20:899 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:20:900 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 18.1 | 
2025-10-17 14:39:20:900 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:20:901 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 4 | 
2025-10-17 14:39:20:902 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45268: Setting 'ltp' to 272.3 | 
2025-10-17 14:39:20:903 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:20:903 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 272.3 | 
2025-10-17 14:39:20:904 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:20:904 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:20:905 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45279: Setting 'ltp' to 57.9 | 
2025-10-17 14:39:20:905 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:20:906 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 57.9 | 
2025-10-17 14:39:20:907 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:20:907 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 1 | 
2025-10-17 14:39:22:025 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45272: Setting 'ltp' to 185.55 | 
2025-10-17 14:39:22:025 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:22:026 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 185.55 | 
2025-10-17 14:39:22:027 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:22:027 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:22:227 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45275: Setting 'ltp' to 31.45 | 
